"","V1","season","id","name","position","team","conference","countablePlays","averagePPA.all","averagePPA.pass","averagePPA.rush"
"119",507,2018,4360310,"Trevor Lawrence","QB","Clemson","ACC",435,0.4,0.398,0.418
"120",643,2019,4360310,"Trevor Lawrence","QB","Clemson","ACC",505,0.472,0.411,0.773
"121",739,2020,4360310,"Trevor Lawrence","QB","Clemson","ACC",397,0.497,0.49,0.545
"122",357,2017,557700,"Tyler Keane","QB","Coastal Carolina","Sun Belt",209,0.353,0.391,0.085
"123",541,2019,4361032,"Bryce Carpenter","QB","Coastal Carolina","Sun Belt",244,0.128,0.176,0.051
"124",597,2019,4361033,"Fred Payton","QB","Coastal Carolina","Sun Belt",240,0.309,0.341,0.165
"125",741,2020,4427936,"Grayson McCall","QB","Coastal Carolina","Sun Belt",357,0.549,0.652,0.283
"126",79,2015,550278,"Sefo Liufau","QB","Colorado","Pac-12",391,0.301,0.3,0.305
"127",178,2016,550278,"Sefo Liufau","QB","Colorado","Pac-12",435,0.237,0.251,0.202
"128",330,2017,3915436,"Steven Montez","QB","Colorado","Pac-12",507,0.286,0.284,0.295
"129",447,2018,3915436,"Steven Montez","QB","Colorado","Pac-12",487,0.25,0.22,0.444
"130",578,2019,3915436,"Steven Montez","QB","Colorado","Pac-12",468,0.268,0.238,0.543
"131",688,2020,4040880,"Sam Noyer","QB","Colorado","Pac-12",206,0.243,0.18,0.489
"132",83,2015,546267,"Nick Stevens","QB","Colorado State","Mountain West",391,0.313,0.303,0.421
"133",379,2017,546267,"Nick Stevens","QB","Colorado State","Mountain West",509,0.444,0.445,0.434
"134",402,2018,4036357,"Collin Hill","QB","Colorado State","Mountain West",216,0.103,0.082,0.364
"135",481,2018,3127291,"K.J. Carta-Samuels","QB","Colorado State","Mountain West",299,0.322,0.357,-0.048
"136",605,2019,4034857,"Patrick O'Brien","QB","Colorado State","Mountain West",398,0.317,0.352,0.019
"137",36,2015,549956,"Bryant Shirreffs","QB","Connecticut","American Athletic",427,0.199,0.17,0.272
"138",139,2016,549956,"Bryant Shirreffs","QB","Connecticut","American Athletic",425,0.13,0.186,-0.006
"139",262,2017,4239134,"David Pindell","QB","Connecticut","American Athletic",230,0.04,-0.014,0.179
"140",341,2017,549956,"Bryant Shirreffs","QB","Connecticut","American Athletic",345,0.309,0.342,0.163
"141",456,2018,4239134,"David Pindell","QB","Connecticut","American Athletic",526,0.27,0.167,0.451
"142",534,2019,4428977,"Jack Zergiotis","QB","Connecticut","American Athletic",299,0.087,0.079,0.206
"143",43,2015,530478,"Thomas Sirk","QB","Duke","ACC",587,0.218,0.226,0.196
"144",183,2016,3917792,"Daniel Jones","QB","Duke","ACC",533,0.246,0.204,0.439
"145",269,2017,3917792,"Daniel Jones","QB","Duke","ACC",611,0.112,0.034,0.379
"146",432,2018,3917792,"Daniel Jones","QB","Duke","ACC",495,0.203,0.172,0.37
"147",538,2019,3917793,"Quentin Harris","QB","Duke","ACC",512,0.116,0.098,0.17
"148",658,2020,4239994,"Chase Brice","QB","Duke","ACC",390,0.105,0.092,0.19
"149",70,2015,3126168,"Blake Kemp","QB","East Carolina","American Athletic",411,0.276,0.285,0.144
"150",171,2016,530738,"Philip Nelson","QB","East Carolina","American Athletic",408,0.225,0.231,0.183
"151",182,2016,4038524,"Gardner Minshew","QB","East Carolina","American Athletic",221,0.246,0.282,-0.385
"152",297,2017,530478,"Thomas Sirk","QB","East Carolina","American Athletic",305,0.201,0.193,0.233
"153",305,2017,4038524,"Gardner Minshew","QB","East Carolina","American Athletic",320,0.233,0.251,-0.277
