"","Team","Rec","STR","KRE","KE","PRE","PE","FGE","OFG","OFP","DFP","NFP","Year"
"712","Wyoming","2-4",-0.02,0.04,-0.05,-0.23,0.07,0.49,-0.05,69.4,68.8,-0.6,2020
"713","Clemson","9-2",-0.02,0.06,0.02,-0.21,0.04,0.37,-0.25,67.4,72.3,4.9,2020
"714","Wake Forest","3-5",-0.02,0.01,-0.01,-0.12,0.03,0.42,-0.34,72.3,68.6,-3.8,2020
"715","Florida Atlantic","5-4",-0.03,0.05,-0.1,-0.13,0.11,0.25,-0.12,71,72.6,1.6,2020
"716","SMU","6-3",-0.03,0,0.06,-0.19,-0.03,0.35,-0.16,70.5,70.8,0.3,2020
"717","South Alabama","4-7",-0.05,0,-0.02,-0.2,0.1,0.29,-0.14,72.2,70.8,-1.5,2020
"718","Charlotte","2-4",-0.05,0.15,-0.12,-0.26,0.04,-0.16,0.59,73,69.4,-3.6,2020
"719","Georgia State","6-4",-0.05,-0.02,-0.04,-0.22,0.08,0.29,0.12,69.4,70.5,1.1,2020
"720","Iowa State","9-3",-0.07,0.17,-0.2,-0.11,0.05,-0.1,0.22,69.3,71.5,2.3,2020
"721","Western Michigan","4-2",-0.08,0.26,-0.05,-0.12,0.06,-0.4,-0.38,69.1,69.2,0.1,2020
"722","Rice","2-3",-0.09,0.15,-0.01,-0.37,0.22,0.11,-0.32,65.6,70.8,5.2,2020
"723","Tennessee","3-7",-0.09,-0.02,-0.02,-0.14,0.3,-0.13,-0.59,72.6,72.9,0.4,2020
"724","Oregon","4-3",-0.1,-0.1,0.06,-0.26,0.18,-0.35,0.24,71.5,70.4,-1.1,2020
"725","Liberty","8-1",-0.1,-0.01,-0.11,-0.18,0.08,-0.04,0.4,70.3,71.2,0.9,2020
"726","Boston College","6-5",-0.1,0,-0.1,-0.11,0.17,0.26,-0.39,69.2,71.8,2.6,2020
"727","Appalachian State","8-3",-0.11,0.11,-0.08,-0.21,0.22,0,-0.4,71.1,74,2.9,2020
"728","Virginia","4-5",-0.12,0,-0.04,-0.02,0.13,-0.06,-0.54,70.6,69.9,-0.7,2020
"729","North Texas","3-6",-0.12,0.04,-0.13,-0.19,0.29,-0.41,0.09,71.6,69.3,-2.3,2020
"730","Mississippi State","4-7",-0.14,0.1,-0.04,-0.23,0.1,0.39,-0.58,72.6,68.8,-3.7,2020
"731","Air Force","3-3",-0.15,0.02,-0.22,-0.21,0.17,-0.41,0.88,74.5,71.5,-3,2020
"732","North Carolina","7-4",-0.15,0.07,0,-0.33,0.16,-0.12,-0.07,71.7,72.6,0.9,2020
"733","UTEP","1-5",-0.15,0.27,-0.16,-0.07,0.02,-0.63,0.01,71.5,65.9,-5.5,2020
"734","Colorado","4-2",-0.15,-0.03,-0.04,0.01,0.14,-0.22,-0.54,71.4,71.3,-0.1,2020
"735","South Florida","0-8",-0.17,0.06,-0.24,-0.04,-0.16,0.47,0.33,70.9,65,-5.9,2020
"736","Northern Illinois","0-6",-0.19,0.06,-0.35,-0.09,0.11,0.57,0.07,73.2,67.2,-5.9,2020
"737","Tulsa","6-3",-0.23,-0.01,-0.18,-0.08,0.09,-0.04,0.03,68.9,67.6,-1.4,2020
"738","Georgia Southern","7-5",-0.24,-0.04,-0.25,0.14,0.05,-0.12,-0.1,71.2,69.5,-1.7,2020
"739","Ole Miss","5-5",-0.25,0.12,0.05,-0.2,0.13,-0.29,-0.83,70.8,74.6,3.8,2020
"740","UNLV","0-6",-0.25,0.02,-0.11,-0.11,0.06,0.15,-0.37,73.4,66.6,-6.8,2020
"741","Buffalo","6-1",-0.27,0.13,-0.06,-0.1,0.05,-1.52,0.57,70,72.6,2.6,2020
"742","Maryland","2-3",-0.27,-0.07,-0.05,-0.23,0.18,-0.02,-0.21,70.1,72,1.8,2020
"743","Illinois","2-6",-0.31,-0.03,-0.11,-0.14,0.11,-0.13,-0.17,71.6,73.1,1.5,2020
"744","Arizona","0-5",-0.31,-0.04,-0.32,-0.18,0.06,0.45,0.43,76.7,64.8,-11.9,2020
"745","Hawaii","5-4",-0.32,0.04,-0.08,-0.16,0.09,-0.34,-0.22,73.9,69,-4.9,2020
"746","Kent State","3-1",-0.32,0.02,-0.3,-0.13,0.18,-0.24,0.32,72,64.9,-7.1,2020
"747","Louisville","4-7",-0.33,-0.06,0.02,-0.19,-0.04,0.64,-0.78,73.4,67.3,-6.1,2020
"748","Louisiana Tech","4-5",-0.33,0.12,-0.24,-0.05,0.01,0.27,-0.52,68.2,65.7,-2.5,2020
"749","New Mexico","2-5",-0.34,0.02,-0.03,-0.13,0.06,-0.1,-0.65,71.1,71.6,0.5,2020
"750","Virginia Tech","5-6",-0.36,0.14,-0.03,-0.31,0.08,0.65,-1.21,70,72.4,2.4,2020
"751","Fresno State","3-3",-0.37,-0.1,-0.18,-0.1,0,0.53,-0.22,70.2,70.5,0.3,2020
"752","Middle Tennessee","3-6",-0.37,0.03,-0.12,-0.27,0.26,-0.15,-0.45,71,68.5,-2.4,2020
"753","Ohio State","7-1",-0.38,0.05,0.01,-0.23,0.09,-0.44,-0.46,71.1,75.1,4,2020
"754","California","1-3",-0.38,-0.05,-0.02,-0.16,-0.08,0.25,-0.43,74.1,65.3,-8.9,2020
"755","Baylor","2-7",-0.4,0.15,-0.09,-0.14,0.05,-0.22,-0.79,68.8,68.6,-0.2,2020
"756","Navy","3-7",-0.42,0.05,-0.04,-0.12,-0.1,-0.06,-0.54,72.4,66.6,-5.8,2020
"757","Michigan State","2-5",-0.42,0.02,-0.11,-0.32,-0.07,0.37,0.02,74.2,65.7,-8.5,2020
"758","Arkansas State","3-7",-0.44,-0.02,-0.18,-0.13,0.01,-0.25,0.14,73.5,67.3,-6.1,2020
"759","Massachusetts","0-4",-0.45,-0.02,-0.01,-0.19,0.11,-0.87,-0.16,75.3,65.7,-9.6,2020
"760","South Carolina","2-8",-0.48,0,-0.17,-0.28,0.05,0.07,-0.05,73.7,68.4,-5.3,2020
"761","Nebraska","3-5",-0.49,-0.05,-0.19,0,-0.1,0.21,-0.43,72.5,67.8,-4.7,2020
"762","Georgia Tech","3-7",-0.57,-0.02,0.02,-0.26,0.32,-1.33,-0.52,71.2,68.3,-2.9,2020
"763","Toledo","4-2",-0.58,-0.04,-0.06,-0.12,-0.04,-0.35,-0.47,68.2,71.9,3.7,2020
"764","Texas Tech","3-6",-0.63,-0.1,-0.17,-0.08,0.02,-0.39,-0.24,71.6,66.3,-5.3,2020
"765","UL Monroe","0-10",-0.71,0,0.05,-0.18,-0.03,-1.15,-0.48,72.5,67.4,-5,2020
"766","Purdue","2-4",-0.75,0.05,-0.15,-0.05,-0.25,-0.05,-0.74,70.6,70.8,0.2,2020
"767","Temple","1-6",-0.76,-0.04,-0.38,-0.22,0.08,-0.19,0.17,70.3,66.9,-3.5,2020
"768","Arkansas","3-7",-0.79,-0.01,-0.06,-0.3,0.05,-0.25,-0.87,76.7,69.4,-7.3,2020
"769","Vanderbilt","0-9",-0.8,-0.05,-0.04,-0.29,0.04,-0.65,-0.48,74.3,68.6,-5.7,2020
"770","Kansas","0-9",-0.82,0.07,-0.24,-0.2,-0.22,-0.06,-0.19,74.3,63.1,-11.2,2020
"771","Bowling Green","0-5",-1.1,0.12,-0.47,0.08,-0.45,-0.25,-0.18,70.5,65.1,-5.4,2020
"772","Washington","3-1",-1.19,0.01,-0.12,-0.01,-0.46,-0.41,-1.09,65.8,72.6,6.8,2020
"773","Colorado State","1-3",-1.2,0.04,-0.24,-0.15,-0.31,-0.38,-0.68,70.4,69.8,-0.6,2020
